event_id,n_images_theory,n_images_detected,img_snrs,img_mags,img_delays_days,img_x_arcsec,img_y_arcsec,img_kappa,img_gamma1,img_gamma2,img_kappa_gal
0017,3,1,"[8.17, 3.27, 0.51]","[4.9164, -1.769, 0.0149]","[0.0, 237.4982, 251.1121]","[2.54985, -0.46641, -0.03172]","[-2.2143, 0.85769, 0.05327]","[0.4999, 1.155, 9.7756]","[-0.0224, 0.4385, 1.8969]","[0.2149, 0.6301, 2.5481]","[0.00513, 0.13918, 7.54792]"
0018,5,4,"[19.31, 19.88, 31.49, 30.12, 7.45]","[-6.0449, 7.8811, -18.2349, 16.8112, 0.8945]","[0.107725, 0.0, 0.03309, 0.029929, 0.114948]","[-0.01294, 0.10712, -0.01795, -0.07433, -0.00288]","[-0.04767, 0.03516, 0.08373, 0.05792, -0.00761]","[1.0454, 0.605, 0.7049, 0.6333, 2.163]","[0.3782, -0.1136, 0.3517, 0.0463, 0.3706]","[-0.1563, -0.1275, 0.135, 0.2699, -0.3121]","[0.01845, 0.00788, 0.01107, 0.00963, 0.04892]"
0139,3,1,"[8.19, 3.81, 0.05]","[2.4229, -0.8218, 0.0001]","[0.0, 21.74665, 38.10726]","[-0.13535, -0.02657, -9e-05]","[-0.35895, 0.23552, 0.00131]","[0.1635, 0.4444, 87.5834]","[0.391, 1.2235, 22.6939]","[-0.3664, 0.1693, 14.9692]","[0.05144, 0.30493, 87.18838]"
0019,3,1,"[1.59, 9.12, 0.11]","[5.4372, -24.7139, 0.0032]","[0.0, 11.32717, 26.37897]","[-0.81605, 0.85742, 0.00475]","[-0.99923, 0.59924, 0.00431]","[0.4019, 0.5322, 19.263]","[0.123, -0.1268, -2.719]","[-0.3984, -0.4932, -3.2044]","[0.04807, 0.1037, 16.28209]"
0140,3,1,"[11.86, 0.06, 4.55]","[1.7329, 0.0, -0.2048]","[0.0, 299.9647, 276.9486]","[0.02022, -0.0005, -0.00161]","[-1.42382, 0.00236, 0.22698]","[0.2144, 171.0576, 1.0895]","[0.1939, -5.7337, 2.2068]","[0.0497, 29.9086, -0.143]","[0.00079, 167.6635, 0.14668]"
0022,3,1,"[8.34, 2.78, 0.62]","[5.937, -0.7435, 0.0294]","[0.0, 153.7656, 157.6383]","[-1.55784, 0.36264, 0.05966]","[0.85358, -0.26317, -0.03729]","[0.4453, 1.4908, 8.1074]","[-0.1654, -0.2445, -1.9135]","[0.3344, 1.2354, 3.5831]","[0.02426, 0.49939, 6.25599]"
0024,3,1,"[2.95, 12.14, 0.82]","[-0.7568, 3.8833, 0.042]","[118.1066, 0.0, 120.9745]","[0.28874, -1.51527, 0.04879]","[-0.29482, 0.63309, -0.05198]","[1.2335, 0.3794, 6.3732]","[-0.1416, -0.231, 0.7999]","[1.1644, 0.2725, 2.109]","[0.58054, 0.01953, 5.35086]"
0025,3,1,"[8.15, 5.76, 0.57]","[4.3713, -3.3947, 0.0258]","[0.0, 396.4556, 426.1661]","[3.57572, -1.37549, -0.08669]","[-3.56329, 1.30999, 0.08585]","[0.4756, 1.0265, 8.2854]","[0.1264, 0.0381, -0.5933]","[0.1738, 0.5421, 3.7306]","[0.00593, 0.07455, 5.37995]"
0141,2,1,"[6.93, 8.18]","[2.9979, -1.5967]","[0.0, 112.9704]","[0.62332, -0.36652]","[-0.60543, 0.21897]","[0.3786, 0.5229]","[-0.0124, -0.4592]","[0.2291, 0.8019]","[0.00322, 0.03241]"
0142,3,1,"[4.98, 10.5, 0.17]","[-0.4532, 2.1765, 0.0015]","[29.79075, 0.0, 34.53481]","[-0.09495, 0.40468, -0.0037]","[-0.14378, 0.25043, -0.0047]","[0.8715, 0.2447, 28.465]","[0.6554, -0.0653, 2.9891]","[-1.3391, -0.3267, -8.8029]","[0.55366, 0.04222, 27.78926]"
0028,3,1,"[5.2, 8.24, 0.06]","[-1.2984, 3.7006, 0.0002]","[31.29378, 0.0, 49.97089]","[-0.15444, 0.17119, -0.00074]","[-0.35089, 0.66459, -0.00217]","[0.5298, 0.3052, 68.6213]","[0.6288, 0.376, 9.0384]","[-0.7719, -0.2668, -2.9414]","[0.14485, 0.03337, 67.12338]"
0029,3,1,"[4.08, 10.63, 0.56]","[4.9553, -23.8267, 0.1964]","[0.0, 0.920353, 1.075668]","[-0.09592, 0.06225, 0.00391]","[0.06301, -0.01299, -0.00208]","[0.5052, 0.7884, 3.2804]","[-0.049, -0.2704, -0.3163]","[0.2015, 0.1167, 0.0896]","[0.02038, 0.08579, 1.58776]"
0030,5,2,"[2.62, 9.31, 2.62, 8.83, 0.03]","[4.5827, 18.5643, -5.4168, -17.3407, 0.0004]","[0.0, 2.710952, 3.898294, 2.719616, 14.41804]","[0.47399, -0.36623, -0.19598, -0.30278, -0.00047]","[0.02627, -0.28768, 0.32577, -0.35953, 0.00015]","[0.314, 0.4378, 0.3731, 0.4951, 50.4924]","[-0.4863, -0.2076, 0.243, 0.0898, 3.6284]","[0.1259, -0.4681, 0.7201, -0.5519, -10.9176]","[0.06162, 0.17832, 0.09305, 0.23545, 49.38511]"
0031,3,1,"[3.01, 18.38, 0.01]","[-2.065, 19.6854, 0.0001]","[119.4601, 0.0, 188.1186]","[0.31269, -1.01707, 0.00107]","[0.69797, -0.92983, 0.0014]","[0.8621, 0.5508, 152.6564]","[0.5353, -0.0226, 2.1055]","[-0.4656, -0.3879, -59.9021]","[0.02763, 0.00882, 147.8209]"
0033,2,1,"[1.98, 8.26]","[2.1852, -10.3612]","[0.0, 310.6796]","[-0.67564, 0.33781]","[-1.81787, 0.74496]","[0.3072, 0.5822]","[0.0951, 0.3032]","[-0.1154, -0.4233]","[0.00167, 0.01934]"
0010,5,3,"[21.19, 7.44, 8.76, 20.12, 0.05]","[-95.532, -12.755, 16.3236, 87.4044, 0.0009]","[1.993609, 5.667174, 0.0, 1.977474, 38.47092]","[-0.20231, -0.76569, 1.47016, -0.6446, -0.00077]","[-1.4694, 1.09271, 0.23214, -1.36717, 0.00058]","[0.5313, 0.5115, 0.4836, 0.5385, 35.2972]","[0.4764, 0.1442, -0.4496, 0.3121, 1.4118]","[-0.0561, 0.5443, -0.0575, -0.3227, -0.403]","[0.12687, 0.10787, 0.09028, 0.13216, 33.68272]"
0035,2,1,"[12.47, 0.35]","[30.9693, -0.0802]","[0.0, 227.8777]","[-1.49117, 0.28038]","[0.78196, -0.02777]","[0.4495, 1.5435]","[-0.4487, -3.4774]","[0.2635, 0.8243]","[0.00153, 0.35694]"
